,salary,f_open,f_employed,f_selfemployed,f_unemployed,f_education,f_organization,f_datascientist,f_designer,f_developer,f_devops,f_engineer,f_scientist,f_years,f_yearspro,f_ambition,f_python,f_r,f_age,f_female,f_male,f_other
2,8820.0,0,1,0,0,1,0,0,1,1,0,0,0,3,1,0,0,0,28,0,1,0
3,61000.0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,22,0,1,0
5,366420.0,0,1,0,0,1,0,1,0,0,0,1,0,13,3,1,0,1,28,0,1,0
8,95179.0,1,1,0,0,0,0,0,0,1,1,0,0,12,4,0,1,0,23,0,1,0
12,90000.0,0,1,0,0,2,0,0,0,1,1,1,0,17,8,0,0,0,28,0,1,0
13,57060.0,0,1,0,0,2,0,0,0,1,0,0,0,13,2,0,0,0,31,0,1,0
15,455352.0,0,1,0,0,2,0,0,0,1,0,0,0,10,3,0,0,0,26,0,1,0
16,65277.0,0,1,0,0,1,0,0,0,1,0,0,0,5,2,0,0,0,29,0,1,0
18,31140.0,0,1,0,0,0,0,0,0,1,0,0,0,14,13,0,0,0,31,0,1,0
19,41244.0,0,1,0,0,2,1,0,1,1,0,0,0,8,4,0,1,1,38,0,1,0
21,103000.0,0,1,0,0,0,1,0,1,1,1,0,0,35,18,0,1,0,47,0,1,0
22,69000.0,0,1,0,0,1,1,0,0,1,0,0,0,3,1,0,1,0,22,0,1,0
23,26388.0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,23,0,1,0
24,6300.0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,22,0,1,0
25,114000.0,0,1,0,0,0,1,0,1,1,0,1,0,12,8,0,1,0,34,0,1,0
28,100000.0,0,1,0,0,1,1,0,0,1,0,0,0,4,2,0,0,0,32,0,1,0
29,90417.0,0,1,0,0,1,1,0,0,0,1,1,0,6,3,0,0,0,28,0,1,0
32,8400.0,0,1,0,0,2,1,1,0,0,0,0,1,6,3,0,1,0,25,0,1,0
34,80000.0,0,1,0,0,1,0,0,0,1,0,0,0,14,14,0,0,0,35,1,0,0
35,20628.0,0,1,0,0,0,1,0,0,1,0,0,0,10,0,0,1,0,21,0,1,0
37,51312.0,0,1,0,0,2,0,0,0,1,0,1,0,30,22,0,0,0,44,0,1,0
38,156000.0,0,1,0,0,1,0,0,0,1,1,0,0,30,23,0,0,0,42,0,1,0
42,20623.0,0,1,0,0,1,1,0,0,1,0,1,0,9,2,1,0,0,27,0,1,0
43,87996.0,1,1,0,0,1,1,0,0,1,1,0,0,26,19,0,0,0,43,0,1,0
44,175000.0,0,1,0,0,2,1,0,0,0,0,1,0,40,35,0,1,0,62,0,1,0
46,187000.0,0,1,0,0,2,0,0,0,0,0,1,0,35,20,0,0,0,45,0,1,0
48,60000.0,0,1,0,0,0,0,0,0,1,1,0,0,15,8,0,1,0,34,0,1,0
49,5597.0,1,1,0,0,1,1,0,0,1,1,0,0,7,2,1,1,0,23,0,1,0
51,39504.0,1,1,0,0,0,0,0,0,1,1,0,0,12,1,0,1,0,22,0,1,0
52,47300.0,0,1,0,0,0,1,0,0,1,1,1,0,5,3,0,0,0,18,0,1,0
53,68268.0,1,1,0,0,0,0,0,0,1,1,0,0,20,10,0,1,0,37,0,1,0
55,51150.0,0,1,0,0,1,1,0,0,1,0,0,0,13,10,0,0,0,33,0,1,0
56,97389.0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,31,0,1,0
58,648.0,0,0,1,0,0,0,0,0,1,0,0,0,25,13,0,0,0,38,0,1,0
59,107000.0,0,1,0,0,0,0,0,0,1,1,0,0,10,9,0,1,0,27,0,1,0
60,66000.0,0,1,0,0,0,0,0,1,1,0,0,0,15,8,0,1,0,34,0,1,0
61,87994.0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,19,0,1,0
63,14964.0,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,25,0,1,0
66,36265.0,0,1,0,0,1,1,0,1,0,0,0,0,6,2,1,1,0,24,0,1,0
